PedidoID,ClienteID,SucursalID,EmpleadoID,FechaPedido,Estado,Total,Notas
1,70,10,40,01/12/2024 17:41,Completado,2667.74,
2,33,2,26,12/12/2023 18:08,Completado,283.32,
3,60,1,34,27/04/2024 08:04,Completado,771.9,
4,77,17,26,02/03/2023 13:34,Completado,418.6,
5,52,1,16,04/06/2023 18:17,Enviado,2410.29,
6,73,4,18,18/03/2023 16:57,Completado,729.18,
7,79,16,20,21/08/2024 12:56,En proceso,1027.31,
8,33,17,6,12/08/2024 11:44,Cancelado,38.75,
9,16,1,27,02/08/2023 12:11,Completado,1971.87,
10,61,11,33,26/09/2023 18:21,Cancelado,396.75,
11,9,1,7,03/09/2023 15:16,Completado,223.99,
12,33,19,17,20/01/2023 18:10,Completado,261.16,
13,24,17,19,28/10/2023 18:14,Completado,166.78,
14,62,12,28,07/04/2023 12:32,Enviado,926.11,
15,85,13,20,13/03/2023 19:30,Cancelado,3055.45,
16,40,17,9,22/07/2024 12:33,Cancelado,134.81,
17,3,7,8,24/01/2024 16:02,En proceso,5265.44,
18,51,18,3,11/01/2023 15:42,Completado,353.94,
19,19,20,32,15/04/2023 13:16,Completado,2118.23,
20,67,5,9,28/11/2023 16:04,Cancelado,280.68,
21,4,7,27,20/05/2023 15:00,Completado,573.48,
22,55,3,25,20/04/2024 20:18,En proceso,2793.65,
23,99,20,1,13/02/2024 13:00,Completado,10412.16,
24,98,15,7,02/01/2024 15:48,Completado,3983.28,
25,74,6,8,27/04/2024 13:30,Enviado,423.13,
26,14,7,13,31/08/2023 19:06,Completado,968.58,
27,51,4,12,22/07/2024 19:33,Cancelado,156.99,
28,3,19,11,16/12/2023 16:34,En proceso,558.93,
29,25,20,23,31/07/2024 17:14,Completado,424.81,
30,90,20,39,13/08/2024 10:28,Completado,789.74,
31,77,8,21,08/03/2023 16:09,Completado,1395.19,
32,22,10,27,08/06/2024 12:01,Enviado,884.78,
33,95,10,1,18/11/2023 12:49,Completado,1830.83,
34,62,9,7,30/10/2023 19:49,Completado,337.87,
35,72,3,31,15/10/2024 11:02,Completado,3527.26,
36,80,7,38,31/12/2024 10:07,Completado,4667.91,
37,80,9,2,13/06/2023 20:04,Cancelado,550.22,
38,24,17,29,07/02/2024 19:50,Completado,10342.81,
39,81,15,27,28/10/2024 11:46,Completado,2061.44,
40,23,1,39,05/04/2023 08:04,Completado,2554.69,
41,41,6,19,02/12/2024 17:28,Cancelado,202.76,
42,90,18,25,19/06/2024 08:34,Completado,9086.96,
43,82,4,40,17/10/2023 12:17,Completado,831.64,
44,51,6,18,21/10/2024 09:42,Enviado,5399.28,
45,55,5,34,31/05/2023 13:56,Cancelado,218.42,
46,53,3,3,06/04/2023 17:11,Completado,91.22,
47,1,12,11,10/09/2023 18:21,Enviado,1041.19,
48,85,6,34,21/01/2023 19:54,Completado,119.91,
49,66,12,15,24/01/2024 12:01,Completado,1778.4,
50,84,3,10,09/12/2024 16:20,Completado,342.54,
51,81,8,40,18/08/2024 10:39,Completado,771.1,
52,29,3,8,03/02/2024 16:02,Completado,3643.58,
53,7,17,3,29/01/2024 16:26,Completado,2329.34,
54,65,8,17,15/07/2024 20:49,En proceso,247.32,
55,14,11,12,14/12/2024 11:22,Completado,175,
56,91,6,4,12/05/2024 11:58,Completado,3013.41,
57,89,7,24,11/06/2023 19:38,Completado,9319.22,
58,86,11,37,29/07/2023 17:35,Completado,42.77,
59,32,16,14,26/04/2023 12:25,Completado,674.75,
60,42,1,8,15/09/2023 08:15,Completado,3834.45,
61,61,16,40,19/07/2024 17:48,En proceso,1003.86,
62,13,16,27,01/07/2024 10:59,Completado,3890.95,
63,12,1,19,24/10/2023 14:15,Completado,2579.18,
64,8,5,34,24/11/2024 09:30,Completado,6691.72,
65,58,4,2,08/04/2023 13:39,En proceso,161.56,
66,48,6,28,10/10/2024 10:27,En proceso,693.28,
